,losses,epsilons
225,"(0.24223282933235168, array(4.3214755, dtype=float32))",0.9785507031263938
226,"(0.21607936918735504, array(4.3753176, dtype=float32))",0.9784568244523016
227,"(0.24200324714183807, array(4.402556, dtype=float32))",0.9783629547845956
228,"(0.19532105326652527, array(4.4431334, dtype=float32))",0.9782690941224116
229,"(0.2078208029270172, array(4.4153566, dtype=float32))",0.9781752424648856
230,"(0.18911387026309967, array(4.485587, dtype=float32))",0.978081399811154
231,"(0.3150666654109955, array(4.316105, dtype=float32))",0.9779875661603528
232,"(0.2244153767824173, array(4.4311705, dtype=float32))",0.9778937415116182
233,"(0.20030923187732697, array(4.458692, dtype=float32))",0.9777999258640868
234,"(0.19200706481933594, array(4.505611, dtype=float32))",0.977706119216895
235,"(0.22824512422084808, array(4.4434786, dtype=float32))",0.9776123215691792
236,"(0.24196229875087738, array(4.5028934, dtype=float32))",0.9775185329200762
237,"(0.23219728469848633, array(4.500341, dtype=float32))",0.9774247532687225
238,"(0.23601669073104858, array(4.5539045, dtype=float32))",0.9773309826142551
239,"(0.1906944066286087, array(4.5690064, dtype=float32))",0.9772372209558108
240,"(0.19436272978782654, array(4.619068, dtype=float32))",0.9771434682925264
241,"(0.19812063872814178, array(4.6053686, dtype=float32))",0.9770497246235392
242,"(0.201295405626297, array(4.6152763, dtype=float32))",0.9769559899479862
243,"(0.1967683732509613, array(4.6556044, dtype=float32))",0.9768622642650046
244,"(0.2003931999206543, array(4.6512938, dtype=float32))",0.9767685475737315
245,"(0.24564075469970703, array(4.5808544, dtype=float32))",0.9766748398733046
246,"(0.354371041059494, array(4.471117, dtype=float32))",0.9765811411628611
247,"(0.2107854187488556, array(4.697421, dtype=float32))",0.9764874514415387
248,"(0.21858885884284973, array(4.692255, dtype=float32))",0.9763937707084749
249,"(0.19828058779239655, array(4.7058244, dtype=float32))",0.9763000989628074
250,"(0.18374691903591156, array(4.731273, dtype=float32))",0.9762064362036742
251,"(0.2187393605709076, array(4.6837406, dtype=float32))",0.9761127824302128
252,"(0.18248094618320465, array(4.7771783, dtype=float32))",0.9760191376415615
253,"(0.33065855503082275, array(4.5976963, dtype=float32))",0.975925501836858
254,"(0.24072027206420898, array(4.7148957, dtype=float32))",0.9758318750152406
255,"(0.23233607411384583, array(4.7395473, dtype=float32))",0.9757382571758475
256,"(0.2962139844894409, array(4.658576, dtype=float32))",0.9756446483178169
257,"(0.23013581335544586, array(4.7179856, dtype=float32))",0.9755510484402873
258,"(0.2159409523010254, array(4.787897, dtype=float32))",0.975457457542397
259,"(0.28895384073257446, array(4.7300634, dtype=float32))",0.9753638756232846
260,"(0.23762816190719604, array(4.7867274, dtype=float32))",0.9752703026820887
261,"(0.1714814156293869, array(4.8532953, dtype=float32))",0.9751767387179479
262,"(0.2382708489894867, array(4.8229036, dtype=float32))",0.975083183730001
263,"(0.16133077442646027, array(4.9395146, dtype=float32))",0.974989637717387
264,"(0.3333888053894043, array(4.692339, dtype=float32))",0.9748961006792447
265,"(0.19811898469924927, array(4.950279, dtype=float32))",0.9748025726147133
266,"(0.2837452292442322, array(4.7891855, dtype=float32))",0.9747090535229316
267,"(0.1863303929567337, array(4.918066, dtype=float32))",0.9746155434030389
268,"(0.23003451526165009, array(4.8986945, dtype=float32))",0.9745220422541746
269,"(0.16297473013401031, array(5.001228, dtype=float32))",0.974428550075478
270,"(0.17464670538902283, array(4.9496164, dtype=float32))",0.9743350668660885
271,"(0.1772364228963852, array(4.994578, dtype=float32))",0.9742415926251456
272,"(0.17668437957763672, array(4.972995, dtype=float32))",0.9741481273517889
273,"(0.4086029529571533, array(4.7080154, dtype=float32))",0.9740546710451582
274,"(0.1471247524023056, array(5.0798187, dtype=float32))",0.9739612237043931
275,"(0.2171880453824997, array(4.960498, dtype=float32))",0.9738677853286335
276,"(0.15582580864429474, array(5.0861435, dtype=float32))",0.9737743559170193
277,"(0.17737095057964325, array(5.0727477, dtype=float32))",0.9736809354686906
278,"(0.17634236812591553, array(5.092924, dtype=float32))",0.9735875239827875
279,"(0.3365500569343567, array(4.898775, dtype=float32))",0.97349412145845
280,"(0.28588128089904785, array(4.9639063, dtype=float32))",0.9734007278948186
281,"(0.3019736409187317, array(4.9684534, dtype=float32))",0.9733073432910335
282,"(0.28714972734451294, array(4.9847903, dtype=float32))",0.9732139676462351
283,"(0.28473585844039917, array(5.0027876, dtype=float32))",0.973120600959564
284,"(0.24791869521141052, array(5.09361, dtype=float32))",0.9730272432301608
285,"(0.1810510754585266, array(5.155705, dtype=float32))",0.972933894457166
286,"(0.15555670857429504, array(5.182857, dtype=float32))",0.9728405546397205
287,"(0.24178510904312134, array(5.128386, dtype=float32))",0.9727472237769652
288,"(0.22896340489387512, array(5.1892953, dtype=float32))",0.9726539018680408
